status_str,on_trade_op
1^disabled_1^closed_2^disabled_2^closed_3^disabled_3^closed,1^enabled
1^enabled_1^opened_2^disabled_2^closed_3^disabled_3^closed,2^enabled
1^enabled_1^closed_2^enabled_2^closed_3^disabled_3^closed,1^disabled_2^disabled
1^enabled_1^closed_2^enabled_2^opened_3^disabled_3^closed,1^disabled_2^disabled
1^enabled_1^closed_2^enabled_2^other_3^disabled_3^closed,1^disabled_2^disabled
1^enabled_1^opened_2^enabled_2^opened_3^disabled_3^closed,3^enabled
1^enabled_1^opened_2^enabled_2^opened_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^other,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^opened_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^opened_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^opened_3^enabled_3^other,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^other_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^other_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^other_3^enabled_3^other,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^closed_2^enabled_2^closed_3^enabled_3^other,1^disabled_2^disabled_3^disabled
1^enabled_1^opened_2^enabled_2^closed_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^opened_2^enabled_2^closed_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^opened_2^enabled_2^closed_3^enabled_3^other,1^disabled_2^disabled_3^disabled
1^enabled_1^other_2^enabled_2^closed_3^enabled_3^closed,1^disabled_2^disabled_3^disabled
1^enabled_1^other_2^enabled_2^closed_3^enabled_3^opened,1^disabled_2^disabled_3^disabled
1^enabled_1^other_2^enabled_2^closed_3^enabled_3^other,1^disabled_2^disabled_3^disabled
